,State County FIPS,Postal Code,Name,Median Household Income,Year
1988,"38 , 1",ND,Adams County,31003,2003
1989,"38 , 3",ND,Barnes County,36475,2003
1990,"38 , 5",ND,Benson County,29385,2003
1991,"38 , 7",ND,Billings County,36480,2003
1992,"38 , 9",ND,Bottineau County,38280,2003
1993,"38 , 11",ND,Bowman County,38520,2003
1994,"38 , 13",ND,Burke County,32060,2003
1995,"38 , 15",ND,Burleigh County,45704,2003
1996,"38 , 17",ND,Cass County,43464,2003
1997,"38 , 19",ND,Cavalier County,37026,2003
1998,"38 , 21",ND,Dickey County,34001,2003
1999,"38 , 23",ND,Divide County,30963,2003
2000,"38 , 25",ND,Dunn County,32783,2003
2001,"38 , 27",ND,Eddy County,33069,2003
2002,"38 , 29",ND,Emmons County,28825,2003
2003,"38 , 31",ND,Foster County,37931,2003
2004,"38 , 33",ND,Golden Valley County,31921,2003
2005,"38 , 35",ND,Grand Forks County,38796,2003
2006,"38 , 37",ND,Grant County,26491,2003
2007,"38 , 39",ND,Griggs County,34773,2003
2008,"38 , 41",ND,Hettinger County,32296,2003
2009,"38 , 43",ND,Kidder County,28659,2003
2010,"38 , 45",ND,LaMoure County,36750,2003
2011,"38 , 47",ND,Logan County,30919,2003
2012,"38 , 49",ND,McHenry County,31719,2003
2013,"38 , 51",ND,McIntosh County,29149,2003
2014,"38 , 53",ND,McKenzie County,31259,2003
2015,"38 , 55",ND,McLean County,36823,2003
2016,"38 , 57",ND,Mercer County,51488,2003
2017,"38 , 59",ND,Morton County,40970,2003
2018,"38 , 61",ND,Mountrail County,32235,2003
2019,"38 , 63",ND,Nelson County,32429,2003
2020,"38 , 65",ND,Oliver County,42565,2003
2021,"38 , 67",ND,Pembina County,39184,2003
2022,"38 , 69",ND,Pierce County,30461,2003
2023,"38 , 71",ND,Ramsey County,36606,2003
2024,"38 , 73",ND,Ransom County,42187,2003
2025,"38 , 75",ND,Renville County,40357,2003
2026,"38 , 77",ND,Richland County,38990,2003
2027,"38 , 79",ND,Rolette County,27812,2003
2028,"38 , 81",ND,Sargent County,42773,2003
2029,"38 , 83",ND,Sheridan County,28031,2003
2030,"38 , 85",ND,Sioux County,24627,2003
2031,"38 , 87",ND,Slope County,27532,2003
2032,"38 , 89",ND,Stark County,37044,2003
2033,"38 , 91",ND,Steele County,44293,2003
2034,"38 , 93",ND,Stutsman County,37153,2003
2035,"38 , 95",ND,Towner County,37573,2003
2036,"38 , 97",ND,Traill County,41019,2003
2037,"38 , 99",ND,Walsh County,35930,2003
2038,"38 , 101",ND,Ward County,38388,2003
2039,"38 , 103",ND,Wells County,35745,2003
2040,"38 , 105",ND,Williams County,36452,2003
1988,"38 , 1",ND,Adams County,31003,2004
1989,"38 , 3",ND,Barnes County,36475,2004
1990,"38 , 5",ND,Benson County,29385,2004
1991,"38 , 7",ND,Billings County,36480,2004
1992,"38 , 9",ND,Bottineau County,38280,2004
1993,"38 , 11",ND,Bowman County,38520,2004
1994,"38 , 13",ND,Burke County,32060,2004
1995,"38 , 15",ND,Burleigh County,45704,2004
1996,"38 , 17",ND,Cass County,43464,2004
1997,"38 , 19",ND,Cavalier County,37026,2004
1998,"38 , 21",ND,Dickey County,34001,2004
1999,"38 , 23",ND,Divide County,30963,2004
2000,"38 , 25",ND,Dunn County,32783,2004
2001,"38 , 27",ND,Eddy County,33069,2004
2002,"38 , 29",ND,Emmons County,28825,2004
2003,"38 , 31",ND,Foster County,37931,2004
2004,"38 , 33",ND,Golden Valley County,31921,2004
2005,"38 , 35",ND,Grand Forks County,38796,2004
2006,"38 , 37",ND,Grant County,26491,2004
2007,"38 , 39",ND,Griggs County,34773,2004
2008,"38 , 41",ND,Hettinger County,32296,2004
2009,"38 , 43",ND,Kidder County,28659,2004
2010,"38 , 45",ND,LaMoure County,36750,2004
2011,"38 , 47",ND,Logan County,30919,2004
2012,"38 , 49",ND,McHenry County,31719,2004
2013,"38 , 51",ND,McIntosh County,29149,2004
2014,"38 , 53",ND,McKenzie County,31259,2004
2015,"38 , 55",ND,McLean County,36823,2004
2016,"38 , 57",ND,Mercer County,51488,2004
2017,"38 , 59",ND,Morton County,40970,2004
2018,"38 , 61",ND,Mountrail County,32235,2004
2019,"38 , 63",ND,Nelson County,32429,2004
2020,"38 , 65",ND,Oliver County,42565,2004
2021,"38 , 67",ND,Pembina County,39184,2004
2022,"38 , 69",ND,Pierce County,30461,2004
2023,"38 , 71",ND,Ramsey County,36606,2004
2024,"38 , 73",ND,Ransom County,42187,2004
2025,"38 , 75",ND,Renville County,40357,2004
2026,"38 , 77",ND,Richland County,38990,2004
2027,"38 , 79",ND,Rolette County,27812,2004
2028,"38 , 81",ND,Sargent County,42773,2004
2029,"38 , 83",ND,Sheridan County,28031,2004
2030,"38 , 85",ND,Sioux County,24627,2004
2031,"38 , 87",ND,Slope County,27532,2004
2032,"38 , 89",ND,Stark County,37044,2004
2033,"38 , 91",ND,Steele County,44293,2004
2034,"38 , 93",ND,Stutsman County,37153,2004
2035,"38 , 95",ND,Towner County,37573,2004
2036,"38 , 97",ND,Traill County,41019,2004
2037,"38 , 99",ND,Walsh County,35930,2004
2038,"38 , 101",ND,Ward County,38388,2004
2039,"38 , 103",ND,Wells County,35745,2004
2040,"38 , 105",ND,Williams County,36452,2004
1988,"38 , 1",ND,Adams County,31003,2005
1989,"38 , 3",ND,Barnes County,36475,2005
1990,"38 , 5",ND,Benson County,29385,2005
1991,"38 , 7",ND,Billings County,36480,2005
1992,"38 , 9",ND,Bottineau County,38280,2005
1993,"38 , 11",ND,Bowman County,38520,2005
1994,"38 , 13",ND,Burke County,32060,2005
1995,"38 , 15",ND,Burleigh County,45704,2005
1996,"38 , 17",ND,Cass County,43464,2005
1997,"38 , 19",ND,Cavalier County,37026,2005
1998,"38 , 21",ND,Dickey County,34001,2005
1999,"38 , 23",ND,Divide County,30963,2005
2000,"38 , 25",ND,Dunn County,32783,2005
2001,"38 , 27",ND,Eddy County,33069,2005
2002,"38 , 29",ND,Emmons County,28825,2005
2003,"38 , 31",ND,Foster County,37931,2005
2004,"38 , 33",ND,Golden Valley County,31921,2005
2005,"38 , 35",ND,Grand Forks County,38796,2005
2006,"38 , 37",ND,Grant County,26491,2005
2007,"38 , 39",ND,Griggs County,34773,2005
2008,"38 , 41",ND,Hettinger County,32296,2005
2009,"38 , 43",ND,Kidder County,28659,2005
2010,"38 , 45",ND,LaMoure County,36750,2005
2011,"38 , 47",ND,Logan County,30919,2005
2012,"38 , 49",ND,McHenry County,31719,2005
2013,"38 , 51",ND,McIntosh County,29149,2005
2014,"38 , 53",ND,McKenzie County,31259,2005
2015,"38 , 55",ND,McLean County,36823,2005
2016,"38 , 57",ND,Mercer County,51488,2005
2017,"38 , 59",ND,Morton County,40970,2005
2018,"38 , 61",ND,Mountrail County,32235,2005
2019,"38 , 63",ND,Nelson County,32429,2005
2020,"38 , 65",ND,Oliver County,42565,2005
2021,"38 , 67",ND,Pembina County,39184,2005
2022,"38 , 69",ND,Pierce County,30461,2005
2023,"38 , 71",ND,Ramsey County,36606,2005
2024,"38 , 73",ND,Ransom County,42187,2005
2025,"38 , 75",ND,Renville County,40357,2005
2026,"38 , 77",ND,Richland County,38990,2005
2027,"38 , 79",ND,Rolette County,27812,2005
2028,"38 , 81",ND,Sargent County,42773,2005
2029,"38 , 83",ND,Sheridan County,28031,2005
2030,"38 , 85",ND,Sioux County,24627,2005
2031,"38 , 87",ND,Slope County,27532,2005
2032,"38 , 89",ND,Stark County,37044,2005
2033,"38 , 91",ND,Steele County,44293,2005
2034,"38 , 93",ND,Stutsman County,37153,2005
2035,"38 , 95",ND,Towner County,37573,2005
2036,"38 , 97",ND,Traill County,41019,2005
2037,"38 , 99",ND,Walsh County,35930,2005
2038,"38 , 101",ND,Ward County,38388,2005
2039,"38 , 103",ND,Wells County,35745,2005
2040,"38 , 105",ND,Williams County,36452,2005
1988,"38 , 1",ND,Adams County,31003,2006
1989,"38 , 3",ND,Barnes County,36475,2006
1990,"38 , 5",ND,Benson County,29385,2006
1991,"38 , 7",ND,Billings County,36480,2006
1992,"38 , 9",ND,Bottineau County,38280,2006
1993,"38 , 11",ND,Bowman County,38520,2006
1994,"38 , 13",ND,Burke County,32060,2006
1995,"38 , 15",ND,Burleigh County,45704,2006
1996,"38 , 17",ND,Cass County,43464,2006
1997,"38 , 19",ND,Cavalier County,37026,2006
1998,"38 , 21",ND,Dickey County,34001,2006
1999,"38 , 23",ND,Divide County,30963,2006
2000,"38 , 25",ND,Dunn County,32783,2006
2001,"38 , 27",ND,Eddy County,33069,2006
2002,"38 , 29",ND,Emmons County,28825,2006
2003,"38 , 31",ND,Foster County,37931,2006
2004,"38 , 33",ND,Golden Valley County,31921,2006
2005,"38 , 35",ND,Grand Forks County,38796,2006
2006,"38 , 37",ND,Grant County,26491,2006
2007,"38 , 39",ND,Griggs County,34773,2006
2008,"38 , 41",ND,Hettinger County,32296,2006
2009,"38 , 43",ND,Kidder County,28659,2006
2010,"38 , 45",ND,LaMoure County,36750,2006
2011,"38 , 47",ND,Logan County,30919,2006
2012,"38 , 49",ND,McHenry County,31719,2006
2013,"38 , 51",ND,McIntosh County,29149,2006
2014,"38 , 53",ND,McKenzie County,31259,2006
2015,"38 , 55",ND,McLean County,36823,2006
2016,"38 , 57",ND,Mercer County,51488,2006
2017,"38 , 59",ND,Morton County,40970,2006
2018,"38 , 61",ND,Mountrail County,32235,2006
2019,"38 , 63",ND,Nelson County,32429,2006
2020,"38 , 65",ND,Oliver County,42565,2006
2021,"38 , 67",ND,Pembina County,39184,2006
2022,"38 , 69",ND,Pierce County,30461,2006
2023,"38 , 71",ND,Ramsey County,36606,2006
2024,"38 , 73",ND,Ransom County,42187,2006
2025,"38 , 75",ND,Renville County,40357,2006
2026,"38 , 77",ND,Richland County,38990,2006
2027,"38 , 79",ND,Rolette County,27812,2006
2028,"38 , 81",ND,Sargent County,42773,2006
2029,"38 , 83",ND,Sheridan County,28031,2006
2030,"38 , 85",ND,Sioux County,24627,2006
2031,"38 , 87",ND,Slope County,27532,2006
2032,"38 , 89",ND,Stark County,37044,2006
2033,"38 , 91",ND,Steele County,44293,2006
2034,"38 , 93",ND,Stutsman County,37153,2006
2035,"38 , 95",ND,Towner County,37573,2006
2036,"38 , 97",ND,Traill County,41019,2006
2037,"38 , 99",ND,Walsh County,35930,2006
2038,"38 , 101",ND,Ward County,38388,2006
2039,"38 , 103",ND,Wells County,35745,2006
2040,"38 , 105",ND,Williams County,36452,2006
1988,"38 , 1",ND,Adams County,31003,2007
1989,"38 , 3",ND,Barnes County,36475,2007
1990,"38 , 5",ND,Benson County,29385,2007
1991,"38 , 7",ND,Billings County,36480,2007
1992,"38 , 9",ND,Bottineau County,38280,2007
1993,"38 , 11",ND,Bowman County,38520,2007
1994,"38 , 13",ND,Burke County,32060,2007
1995,"38 , 15",ND,Burleigh County,45704,2007
1996,"38 , 17",ND,Cass County,43464,2007
1997,"38 , 19",ND,Cavalier County,37026,2007
1998,"38 , 21",ND,Dickey County,34001,2007
1999,"38 , 23",ND,Divide County,30963,2007
2000,"38 , 25",ND,Dunn County,32783,2007
2001,"38 , 27",ND,Eddy County,33069,2007
2002,"38 , 29",ND,Emmons County,28825,2007
2003,"38 , 31",ND,Foster County,37931,2007
2004,"38 , 33",ND,Golden Valley County,31921,2007
2005,"38 , 35",ND,Grand Forks County,38796,2007
2006,"38 , 37",ND,Grant County,26491,2007
2007,"38 , 39",ND,Griggs County,34773,2007
2008,"38 , 41",ND,Hettinger County,32296,2007
2009,"38 , 43",ND,Kidder County,28659,2007
2010,"38 , 45",ND,LaMoure County,36750,2007
2011,"38 , 47",ND,Logan County,30919,2007
2012,"38 , 49",ND,McHenry County,31719,2007
2013,"38 , 51",ND,McIntosh County,29149,2007
2014,"38 , 53",ND,McKenzie County,31259,2007
2015,"38 , 55",ND,McLean County,36823,2007
2016,"38 , 57",ND,Mercer County,51488,2007
2017,"38 , 59",ND,Morton County,40970,2007
2018,"38 , 61",ND,Mountrail County,32235,2007
2019,"38 , 63",ND,Nelson County,32429,2007
2020,"38 , 65",ND,Oliver County,42565,2007
2021,"38 , 67",ND,Pembina County,39184,2007
2022,"38 , 69",ND,Pierce County,30461,2007
2023,"38 , 71",ND,Ramsey County,36606,2007
2024,"38 , 73",ND,Ransom County,42187,2007
2025,"38 , 75",ND,Renville County,40357,2007
2026,"38 , 77",ND,Richland County,38990,2007
2027,"38 , 79",ND,Rolette County,27812,2007
2028,"38 , 81",ND,Sargent County,42773,2007
2029,"38 , 83",ND,Sheridan County,28031,2007
2030,"38 , 85",ND,Sioux County,24627,2007
2031,"38 , 87",ND,Slope County,27532,2007
2032,"38 , 89",ND,Stark County,37044,2007
2033,"38 , 91",ND,Steele County,44293,2007
2034,"38 , 93",ND,Stutsman County,37153,2007
2035,"38 , 95",ND,Towner County,37573,2007
2036,"38 , 97",ND,Traill County,41019,2007
2037,"38 , 99",ND,Walsh County,35930,2007
2038,"38 , 101",ND,Ward County,38388,2007
2039,"38 , 103",ND,Wells County,35745,2007
2040,"38 , 105",ND,Williams County,36452,2007
1988,"38 , 1",ND,Adams County,31003,2008
1989,"38 , 3",ND,Barnes County,36475,2008
1990,"38 , 5",ND,Benson County,29385,2008
1991,"38 , 7",ND,Billings County,36480,2008
1992,"38 , 9",ND,Bottineau County,38280,2008
1993,"38 , 11",ND,Bowman County,38520,2008
1994,"38 , 13",ND,Burke County,32060,2008
1995,"38 , 15",ND,Burleigh County,45704,2008
1996,"38 , 17",ND,Cass County,43464,2008
1997,"38 , 19",ND,Cavalier County,37026,2008
1998,"38 , 21",ND,Dickey County,34001,2008
1999,"38 , 23",ND,Divide County,30963,2008
2000,"38 , 25",ND,Dunn County,32783,2008
2001,"38 , 27",ND,Eddy County,33069,2008
2002,"38 , 29",ND,Emmons County,28825,2008
2003,"38 , 31",ND,Foster County,37931,2008
2004,"38 , 33",ND,Golden Valley County,31921,2008
2005,"38 , 35",ND,Grand Forks County,38796,2008
2006,"38 , 37",ND,Grant County,26491,2008
2007,"38 , 39",ND,Griggs County,34773,2008
2008,"38 , 41",ND,Hettinger County,32296,2008
2009,"38 , 43",ND,Kidder County,28659,2008
2010,"38 , 45",ND,LaMoure County,36750,2008
2011,"38 , 47",ND,Logan County,30919,2008
2012,"38 , 49",ND,McHenry County,31719,2008
2013,"38 , 51",ND,McIntosh County,29149,2008
2014,"38 , 53",ND,McKenzie County,31259,2008
2015,"38 , 55",ND,McLean County,36823,2008
2016,"38 , 57",ND,Mercer County,51488,2008
2017,"38 , 59",ND,Morton County,40970,2008
2018,"38 , 61",ND,Mountrail County,32235,2008
2019,"38 , 63",ND,Nelson County,32429,2008
2020,"38 , 65",ND,Oliver County,42565,2008
2021,"38 , 67",ND,Pembina County,39184,2008
2022,"38 , 69",ND,Pierce County,30461,2008
2023,"38 , 71",ND,Ramsey County,36606,2008
2024,"38 , 73",ND,Ransom County,42187,2008
2025,"38 , 75",ND,Renville County,40357,2008
2026,"38 , 77",ND,Richland County,38990,2008
2027,"38 , 79",ND,Rolette County,27812,2008
2028,"38 , 81",ND,Sargent County,42773,2008
2029,"38 , 83",ND,Sheridan County,28031,2008
2030,"38 , 85",ND,Sioux County,24627,2008
2031,"38 , 87",ND,Slope County,27532,2008
2032,"38 , 89",ND,Stark County,37044,2008
2033,"38 , 91",ND,Steele County,44293,2008
2034,"38 , 93",ND,Stutsman County,37153,2008
2035,"38 , 95",ND,Towner County,37573,2008
2036,"38 , 97",ND,Traill County,41019,2008
2037,"38 , 99",ND,Walsh County,35930,2008
2038,"38 , 101",ND,Ward County,38388,2008
2039,"38 , 103",ND,Wells County,35745,2008
2040,"38 , 105",ND,Williams County,36452,2008
1988,"38 , 1",ND,Adams County,31003,2009
1989,"38 , 3",ND,Barnes County,36475,2009
1990,"38 , 5",ND,Benson County,29385,2009
1991,"38 , 7",ND,Billings County,36480,2009
1992,"38 , 9",ND,Bottineau County,38280,2009
1993,"38 , 11",ND,Bowman County,38520,2009
1994,"38 , 13",ND,Burke County,32060,2009
1995,"38 , 15",ND,Burleigh County,45704,2009
1996,"38 , 17",ND,Cass County,43464,2009
1997,"38 , 19",ND,Cavalier County,37026,2009
1998,"38 , 21",ND,Dickey County,34001,2009
1999,"38 , 23",ND,Divide County,30963,2009
2000,"38 , 25",ND,Dunn County,32783,2009
2001,"38 , 27",ND,Eddy County,33069,2009
2002,"38 , 29",ND,Emmons County,28825,2009
2003,"38 , 31",ND,Foster County,37931,2009
2004,"38 , 33",ND,Golden Valley County,31921,2009
2005,"38 , 35",ND,Grand Forks County,38796,2009
2006,"38 , 37",ND,Grant County,26491,2009
2007,"38 , 39",ND,Griggs County,34773,2009
2008,"38 , 41",ND,Hettinger County,32296,2009
2009,"38 , 43",ND,Kidder County,28659,2009
2010,"38 , 45",ND,LaMoure County,36750,2009
2011,"38 , 47",ND,Logan County,30919,2009
2012,"38 , 49",ND,McHenry County,31719,2009
2013,"38 , 51",ND,McIntosh County,29149,2009
2014,"38 , 53",ND,McKenzie County,31259,2009
2015,"38 , 55",ND,McLean County,36823,2009
2016,"38 , 57",ND,Mercer County,51488,2009
2017,"38 , 59",ND,Morton County,40970,2009
2018,"38 , 61",ND,Mountrail County,32235,2009
2019,"38 , 63",ND,Nelson County,32429,2009
2020,"38 , 65",ND,Oliver County,42565,2009
2021,"38 , 67",ND,Pembina County,39184,2009
2022,"38 , 69",ND,Pierce County,30461,2009
2023,"38 , 71",ND,Ramsey County,36606,2009
2024,"38 , 73",ND,Ransom County,42187,2009
2025,"38 , 75",ND,Renville County,40357,2009
2026,"38 , 77",ND,Richland County,38990,2009
2027,"38 , 79",ND,Rolette County,27812,2009
2028,"38 , 81",ND,Sargent County,42773,2009
2029,"38 , 83",ND,Sheridan County,28031,2009
2030,"38 , 85",ND,Sioux County,24627,2009
2031,"38 , 87",ND,Slope County,27532,2009
2032,"38 , 89",ND,Stark County,37044,2009
2033,"38 , 91",ND,Steele County,44293,2009
2034,"38 , 93",ND,Stutsman County,37153,2009
2035,"38 , 95",ND,Towner County,37573,2009
2036,"38 , 97",ND,Traill County,41019,2009
2037,"38 , 99",ND,Walsh County,35930,2009
2038,"38 , 101",ND,Ward County,38388,2009
2039,"38 , 103",ND,Wells County,35745,2009
2040,"38 , 105",ND,Williams County,36452,2009
1988,"38 , 1",ND,Adams County,31003,2010
1989,"38 , 3",ND,Barnes County,36475,2010
1990,"38 , 5",ND,Benson County,29385,2010
1991,"38 , 7",ND,Billings County,36480,2010
1992,"38 , 9",ND,Bottineau County,38280,2010
1993,"38 , 11",ND,Bowman County,38520,2010
1994,"38 , 13",ND,Burke County,32060,2010
1995,"38 , 15",ND,Burleigh County,45704,2010
1996,"38 , 17",ND,Cass County,43464,2010
1997,"38 , 19",ND,Cavalier County,37026,2010
1998,"38 , 21",ND,Dickey County,34001,2010
1999,"38 , 23",ND,Divide County,30963,2010
2000,"38 , 25",ND,Dunn County,32783,2010
2001,"38 , 27",ND,Eddy County,33069,2010
2002,"38 , 29",ND,Emmons County,28825,2010
2003,"38 , 31",ND,Foster County,37931,2010
2004,"38 , 33",ND,Golden Valley County,31921,2010
2005,"38 , 35",ND,Grand Forks County,38796,2010
2006,"38 , 37",ND,Grant County,26491,2010
2007,"38 , 39",ND,Griggs County,34773,2010
2008,"38 , 41",ND,Hettinger County,32296,2010
2009,"38 , 43",ND,Kidder County,28659,2010
2010,"38 , 45",ND,LaMoure County,36750,2010
2011,"38 , 47",ND,Logan County,30919,2010
2012,"38 , 49",ND,McHenry County,31719,2010
2013,"38 , 51",ND,McIntosh County,29149,2010
2014,"38 , 53",ND,McKenzie County,31259,2010
2015,"38 , 55",ND,McLean County,36823,2010
2016,"38 , 57",ND,Mercer County,51488,2010
2017,"38 , 59",ND,Morton County,40970,2010
2018,"38 , 61",ND,Mountrail County,32235,2010
2019,"38 , 63",ND,Nelson County,32429,2010
2020,"38 , 65",ND,Oliver County,42565,2010
2021,"38 , 67",ND,Pembina County,39184,2010
2022,"38 , 69",ND,Pierce County,30461,2010
2023,"38 , 71",ND,Ramsey County,36606,2010
2024,"38 , 73",ND,Ransom County,42187,2010
2025,"38 , 75",ND,Renville County,40357,2010
2026,"38 , 77",ND,Richland County,38990,2010
2027,"38 , 79",ND,Rolette County,27812,2010
2028,"38 , 81",ND,Sargent County,42773,2010
2029,"38 , 83",ND,Sheridan County,28031,2010
2030,"38 , 85",ND,Sioux County,24627,2010
2031,"38 , 87",ND,Slope County,27532,2010
2032,"38 , 89",ND,Stark County,37044,2010
2033,"38 , 91",ND,Steele County,44293,2010
2034,"38 , 93",ND,Stutsman County,37153,2010
2035,"38 , 95",ND,Towner County,37573,2010
2036,"38 , 97",ND,Traill County,41019,2010
2037,"38 , 99",ND,Walsh County,35930,2010
2038,"38 , 101",ND,Ward County,38388,2010
2039,"38 , 103",ND,Wells County,35745,2010
